Bangla Text, Equation
 Adding one and two makes three., x + y = z
 The value of the factorial of five is one hundred and twenty., x!=y
 The square root of a negative number is a composite number., √x=y
 Many people mistake one for prime number., others
 One is not a prime number., others
 Add one and three to four., x + y = z
 Adding one to one makes two., x + y = z
 Adding eleven and two makes thirteen, x + y = z
" If you subtract five from seven, you get two.", xy=z
 Subtracting two from three equals one., xy=z
Subtracting four from six equals two., xy=z
 Subtracting four from five equals one., xy=z
 Adding one and five makes six., x + y = z
 Adding three and three makes six., x + y = z
" If you subtract four from eight, you get four.", xy=z
 Subtracting five from ten is five., xy=z
 Eighteen players of the Sri Lankan national cricket team have come to play in Bangladesh. Bangladesh team also has eighteen players. There are total thirty six players in two teams., x + y = z
 school has twenty-six female and twenty-five male students in the second class. There are total fifty one students in the second class., x + y = z
 There are twenty-six rose trees and forty beli trees in the garden of creation. There are a total of sixty six trees in the garden, x + y = z
 Ali plucked two weeping dabs from their tree. There are nineteen dubs in one cry and eighteen dubs in the other cry. There are forty seven dubs in total., x + y = z
" If you multiply six by two, you get twelve.",xy=z
 Two multiplied by two is four.,xy=z
" If you multiply two by three, you get six.",xy=z
 Multiplying three by three gives nine.,xy=z
" If you subtract seven from eight, you get one.", xy=z
 Twenty divided by ten is two., x/y=z
 Twenty-five divided by five is five., x/y=z
 Five multiplied by two is ten.,xy=z
 Three multiplied by seven is twenty one.,xy=z
 Six multiplied by three equals eighteen.,xy=z
" If you subtract two from twelve, you get ten.", xy=z
Fifteen divided by three is five., x/y=z
" If you subtract two from fifteen, you get thirteen.", xy=z
 Multiplying ten by three gives thirty.,xy=z
 Twenty times two is forty.,xy=z
 Subtracting six from twenty makes fourteen., xy=z
" If you subtract two from twenty-two, you get twenty.", xy=z
 Four multiplied by five is twenty,xy=z
 Dividing two by two equals one., x/y=z
 Multiply three by five to get fifteen.,xy=z
 Multiplying three by eight makes twenty four.,xy=z
"If you subtract twelve from eighteen, you get six.", xy=z
" If you subtract seven from seventeen, you get ten.", xy=z
" If you subtract four from seven, you get three.", xy=z
 Twenty divided by five is four., x/y=z
 Eighteen divided by nine is two., x/y=z
 Tens divided by five will be two., x/y=z
" If you subtract seven from fourteen, you get seven.", xy=z
 Nine divided by three is three., x/y=z
 Three multiplied by nine will be twenty seven.,xy=z
 Multiplying three by four makes twelve.,xy=z
 Four multiplied by two is eight.,xy=z
Four multiplied by four is sixteen.,xy=z
 Shanti's family library has fifty-two books on stories and thirty-eight books on other subjects.The library has a total of eighty books., x + y = z
 Five times six is thirty.,xy=z
 Six multiplied by six is thirty six.,xy=z
 Raju bought forty-five taka fish and thirty-eight taka vegetables from the market. He spent a total of eighty-three rupees, x + y = z
" If you subtract five from fifteen, you get ten.", xy=z
"If you subtract two from ten, you get eight.", xy=z
 Subtracting ten from thirty makes twenty., xy=z
" If you multiply fifty by two, you get one hundred",xy=z
 Ani and her friends went on the ferry on the morning of February 21 in two groups. There were thirty-nine people in one group and thirty-five people in the other group. There are sixty four people in two groups, x + y = z
" If you subtract six from nine, you get three.", xy=z
 Riaz kept thirty-five horn fish and forty-seven tilapia fish in his tank. He kept eighty-two fish in the chowbaccha, x + y = z
Subtracting two from five equals three., xy=z
" If you multiply twenty by two, you get forty",xy=z
 Akash saw forty cars pass in front of his house in the morning and thirty six cars in the afternoon. That day he saw seventy-three cars passing in front of the house, x + y = z
 Forty-five divided by five is nine, x/y=z
 Seven multiplied by two is fourteen.,xy=z
 One hundred divided by five is twenty, x/y=z
 shopkeeper counts the number of customers in his shop. Thirty-three customers came on the first day. The next day thirty-one customers arrived. Sixty four customers came to his shop in those two days, x + y = z
 Subtracting five from forty equals thirty-five., xy=z
 Sixty plus two equals sixty-two, x + y = z
 One hundred divided by ten is ten, x/y=z
 Subtracting five from twenty is fifteen., xy=z
 Ninety divided by five is eighteen, x/y=z
Subtracting seventeen from twenty gives three., xy=z
 Fifty divided by twenty five is two, x/y=z
 Raju bought fish for 32 rupees and vegetables for 24 rupees from the market. He spent a total of fifty six rupees, x + y = z
 If one hundred is multiplied by two it will be two hundred,xy=z
 Subtracting twenty from fifty gives thirty, xy=z
" If you subtract ten from thirty-five, you get twenty-five.", xy=z
 Three hundred divided by one hundred is three, x/y=z
 Fifty multiplied by four is two hundred,xy=z
Fifteen multiplied by three is forty-five,xy=z
 One hundred multiplied by five is five hundred,xy=z
 Fifty plus six is three hundred,xy=z
 Subtracting two from twenty-three makes twenty-one., xy=z
" If you multiply eleven by two, you get twenty two.",xy=z
 Thirty multiplied by three equals ninety,xy=z
 Subtracting one hundred from four hundred equals three hundred, xy=z
 Forty multiplied by ten is four hundred,xy=z
 Subtracting ten from fifty gives forty, xy=z
 The value of the factorial of three is six., x!=y
Nine multiplied by nine is eighty one,xy=z
 Adding five to fifty equals fifty, x + y = z
 The value of the factorial of six is seven hundred and twenty., x!=y
 One hundred minus one equals ninety-nine, xy=z
 Subtracting forty from one hundred equals sixty, xy=z
 The value of the factorial of two is two., x!=y
 Subtracting thirty from one hundred equals seventy, xy=z
