Bangla Text,Equation
এক আর দুই যোগ করলে তিন হবে।,x+y=z
পাঁচের ফ্যাক্টরিয়ালের মান একশ বিশ।,x!=y
ঋণাত্মক সংখ্যার বর্গমূল হল যৌগিক সংখ্যা।,√x=y
অনেকেই এককে মৌলিক সংখ্যা ভেবে ভূল করে থাকেন।,others
এক কোনো মৌলিক সংখ্যা নয়।,others
এক আর তিন যোগ করলে  চার হবে।,x+y=z
এক আর এক যোগ করলে দুই হবে।,x+y=z
এগার আর দুই যোগ করলে তের হবে,x+y=z
সাত থেকে পাঁচ বিয়োগ করলে দুই হবে ।,x-y=z
তিন থেকে দুই বিয়োগ করলে এক হবে।,x-y=z
ছয় থেকে চার বিয়োগ করলে দুই হবে।,x-y=z
পাঁচ থেকে চার বিয়োগ করলে এক হবে।,x-y=z
এক আর পাঁচ যোগ করলে ছয় হবে।,x+y=z
তিন আর তিন যোগ করলে ছয় হবে।,x+y=z
আট থেকে চার বিয়োগ করলে চার হবে।,x-y=z
দশ থেকে পাঁচ বিয়োগ করলে পাঁচ হবে।,x-y=z
শ্রীলংকার জাতীয় ক্রিকেট দলের আঠারো জন খেলোয়াড় বাংলাদেশে খেলতে এসেছেন। বাংলাদেশ দলেও আঠারো জন খেলোয়াড় আছেন। দুই দলে মোট ছত্রিশ জন খেলোয়াড় আছেন।,x+y=z
একটি বিদ্যালয়ের দ্বিতীয় শ্রেণিতে ছাব্বিশ জন ছাত্রী ও পঁচিশ জন ছাত্র আছে। দ্বিতীয় শ্রেণিতে মোট একান্ন জন শিক্ষার্থী আছে ।,x+y=z
সৃষ্টিদের বাগানে ছাব্বিশ টি গোলাপ গাছ ও চল্লিশ টি বেলি গাছ আছে। বাগানে মোট ছেষট্টি টি গাছ আছে,x+y=z
আলি তাদের গাছ থেকে দুই কাঁদি ডাব পেড়েছে। এক কাঁদিতে ঊনিশ টি ডাব এবং অন্য কাঁদিতে আঠারো টি ডাব আছে। একত্রে সাতচল্লিশ টি ডাব আছে ।,x+y=z
ছয়কে দুই দিয়ে গুন করলে বারো হবে।,xy=z
দুইকে দুই দিয়ে গুণ করলে চার হবে।,xy=z
দুইকে তিন  দিয়ে গুণ করলে ছয় হবে।,xy=z
তিনকে তিন দিয়ে গুণ করলে নয় হবে।,xy=z
আট থেকে সাত বিয়োগ করলে এক হবে।,x-y=z
বিশকে দশ দিয়ে ভাগ করলে দুই হবে।,x/y=z
পঁচিশকে পাঁচ দিয়ে ভাগ করলে পাঁচ হবে।,x/y=z
পাঁচকে দুই দিয়ে গুণ করলে দশ হবে।,xy=z
তিনকে সাত দিয়ে গুণ করলে একুশ হবে।,xy=z
ছয়কে তিন দিয়ে গুণ করলে আঠারো হবে।,xy=z
বারো থেকে দুই বিয়োগ করলে দশ হবে।,x-y=z
পনের কে তিন দিয়ে ভাগ করলে পাঁচ হবে।,x/y=z
পনের থেকে দুই বিয়োগ করলে তের হবে।,x-y=z
দশকে তিন দিয়ে গুণ করলে ত্রিশ হবে।,xy=z
বিশকে দুই দিয়ে গুণ করলে চল্লিশ হবে।,xy=z
বিশ থেকে ছয় বিয়োগ করলে চৌদ্দ হবে।,x-y=z
বাইশ থেকে দুই বিয়োগ করলে বিশ হবে।,x-y=z
চারকে পাঁচ দিয়ে গুণ করলে বিশ হবে,xy=z
দুইকে দুই দিয়ে ভাগ করলে এক হবে।,x/y=z
তিনকে পাঁচ দিয়ে গুণ করলে পনেরো হবে।,xy=z
তিন কে আট দিয়ে গুণ করলে চব্বিশ হবে।,xy=z
আঠারো থেকে বারো বিয়োগ করলে  ছয় হবে।,x-y=z
সতেরো থেকে সাত বিয়োগ করলে দশ হবে।,x-y=z
সাত থেকে চার বিয়োগ করলে তিন হবে।,x-y=z
বিশকে পাঁচ দিয়ে ভাগ করলে চার হবে।,x/y=z
আঠারো কে নয় দিয়ে ভাগ করলে দুই হবে।,x/y=z
দশকে পাঁচ দিয়ে ভাগ করলে দুই হবে।,x/y=z
চৌদ্দ থেকে সাত বিয়োগ করলে সাত হবে।,x-y=z
নয়কে তিন দিয়ে ভাগ করলে তিন হবে।,x/y=z
তিনকে নয় দিয়ে গুণ করলে সাতাশ হবে।,xy=z
তিনকে চার দিয়ে গুণ করলে বারো হবে।,xy=z
চারকে দুই দিয়ে গুণ করলে আট হবে।,xy=z
চারকে চার দিয়ে গুণ করলে ষোল হবে।,xy=z
শান্তিদের পারিবারিক লাইব্রেরিতে গল্পের বায়ান্ন টি বই ও আটত্রিশ টি অন্য বিষয়ের বই আছে লাইব্রেরিতে মোট আশি টি বই আছে,x+y=z
পাঁচকে ছয়  দিয়ে গুণ করলে  ত্রিশ হবে।,xy=z
ছয়কে ছয় দিয়ে গুণ করলে ছত্রিশ হবে।,xy=z
রাজু বাজার থেকে পঁয়তাল্লিশ টাকার মাছ ও আটত্রিশ টাকার সবজি কিনল। সে মোট তিরাশি টাকা খরচ করল,x+y=z
পনেরো থেকে পাঁচ বিয়োগ করলে দশ হবে।,x-y=z
দশ থেকে দুই বিয়োগ করলে আট হবে।,x-y=z
ত্রিশ থেকে দশ বিয়োগ করলে বিশ হবে।,x-y=z
পঞ্চাশ কে দুই  দিয়ে গুন করলে একশ হবে,xy=z
অনি ও তার বন্ধুরা দুই দলে একুশে ফেব্রুয়ারির প্রভাত ফেরিতে গেল ।এক দলে ঊনত্রিশ জন ও অন্য দলে পঁয়ত্রিশ জন আছে। দুই দলে চৌষট্টি জন আছে,x+y=z
নয় থেকে ছয় বিয়োগ করলে তিন হবে।,x-y=z
রিয়াজ তার চৌবাচ্চায় পঁয়ত্রিশ টি শিং মাছ ও সাতচল্লিশ টি তেলাপিয়া মাছ রাখল । সে বিরাশি টি মাছ চৌবাচ্চায় রাখল,x+y=z
পাঁচ থেকে দুই বিয়োগ করলে তিন হবে।,x-y=z
বিশকে দুই দিয়ে গুন করলে চল্লিশ হবে,xy=z
আকাশ তার বাড়ির সামনে দিয়ে সকালে  চল্লিশ টি গাড়ি ও বিকালে ছত্রিশ টি গাড়ি যেতে দেখেছে। ঐ দিন বাড়ির সামনে দিয়ে সে তিয়াত্তর টি গাড়ি যেতে দেখেছে,x+y=z
পয়তাল্লিশকে পাঁচ দিয়ে ভাগ করলে নয় হবে,x/y=z
সাতকে দুই দিয়ে গুণ করলে চৌদ্দ হবে।,xy=z
একশকে পাঁচ দিয়ে ভাগ করলে বিশ হবে,x/y=z
একজন দোকানদার তার দোকানে ক্রেতার সংখ্যা গণনা করেন । প্রথম দিন তেত্রিশ জন ক্রেতা এসেছিলেন। পরের দিন একত্রিশ জন ক্রেতা এসেছিলেন। ওই দুই দিনে তার দোকানে চৌষট্টি জন ক্রেতা এসেছিলেন,x+y=z
চল্লিশ থেকে পাঁচ বিয়োগ করলে পয়ত্রিশ হবে।,x-y=z
ষাট এর সাথে দুই যোগ করলে বাষট্টি হবে,x+y=z
একশকে দশ দিয়ে ভাগ করলে দশ হবে,x/y=z
বিশ থেকে পাঁচ বিয়োগ করলে পনেরো হবে।,x-y=z
নব্বইকে পাঁচ দিয়ে ভাগ করলে আঠার হবে,x/y=z
বিশ থেকে সতেরো বিয়োগ করলে তিন হবে।,x-y=z
পঞ্চাশকে পঁচিশ দিয়ে ভাগ করলে দুই হবে,x/y=z
রাজু বাজার থেকে বত্রিশ টাকার মাছ ও চব্বিশ টাকার সবজি কিনল। সে মোট ছাপ্পান্ন টাকা খরচ করল,x+y=z
একশকে দুই দিয়ে গুন করলে দুইশ হবে,xy=z
পঞ্চাশ থেকে বিশ বিয়োগ করলে ত্রিশ হবে,x-y=z
পয়ত্রিশ থেকে দশ বিয়োগ করলে পঁচিশ হবে।,x-y=z
তিনশকে একশ দিয়ে ভাগ করলে তিন হবে,x/y=z
পঞ্চাশকে চার দিয়ে গুন করলে দুইশ হয়,xy=z
পনেরকে  তিন দিয়ে গুন করলে পঁয়তাল্লিশ হয়,xy=z
একশকে পাঁচ দিয়ে গুন করলে পাঁচশ হয়,xy=z
পঞ্চাশ এর সাথে ছয় গুন করলে তিনশ হয়,xy=z
তেইশ থেকে দুই বিয়োগ করলে একুশ হবে।,x-y=z
এগার কে দুই দিয়ে গুন করলে বাইশ হবে।,xy=z
ত্রিশ এর সাথে তিন গুন করলে নব্বই হয়,xy=z
চারশ থেকে একশ বিয়োগ করলে তিনশ হয়,x-y=z
চল্লিশকে দশ দিয়ে গুন করলে চারশ হয়,xy=z
পঞ্চাশ থেকে দশ বিয়োগ করলে চল্লিশ হবে,x-y=z
তিন এর ফ্যাক্টরিয়ালের মান ছয়।,x!=y
নয়কে নয় দিয়ে গুন একাশি হয়,xy=z
পঞ্চাশ এর সাথে পাঁচ যোগ করলে পঞ্চান্ন হয়,x+y=z
ছয়ের ফ্যাক্টরিয়ালের মান সাতশ বিশ ।,x!=y
একশ থেকে এক বিয়োগ করলে নিরানব্বই হয়,x-y=z
একশ থেকে চল্লিশ বিয়োগ করলে ষাট হয়,x-y=z
দুইয়ের ফ্যাক্টরিয়ালের মান দুই।,x!=y
একশ থেকে ত্রিশ বিয়োগ করলে সত্তর হয়,x-y=z
একশ থেকে নিরানব্বই বিয়োগ করলে এক হয়,x-y=z
চারকে সাত দিয়ে গুণ করলে আটাশ হবে।,xy=z
